segment_id,km_start,km_end,aid_interval,lat_start,lon_start,lat_end,lon_end,elevation_start_m,elevation_end_m,ascent_m,descent_m,elevation_metric_basis,average_grade_pct,p95_abs_grade_pct,max_abs_grade_pct,official_route_difficulty,osm_way_ids,osm_way_names,highway,surface,tracktype,smoothness,sac_scale,trail_visibility,landcover,evidence_tag_depth,osm_match_distance_m,inferred_surface_flag,direct_visual_evidence_ids,context_visual_evidence_ids,written_source_ids,map_source_ids,confidence_level,surface_confidence,visual_confidence,equipment_confidence,evidence_class,surface_taxonomy,wet_risk,night_risk,downhill_braking_risk,shoe_implication,poles_implication,what_would_change_this_assessment
MS0011,1.360,1.456,RADOVLJICA->TALEŽ,46.335490,14.181000,46.334800,14.181685,464,453,0.0,11.0,raw_gpx_edge_sum_not_official_reconciled,-11.5,13.0,13.0,T2,1052525535,,path,,,,,,village/valley,0,0.3,yes,,,S001;S002,S003,low-medium,low-medium,none,low-medium,Map/OSM highway-class inference,inferred forest singletrack,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,"Surface-specific OSM tags, verified street/trail imagery, or local guide text for this exact path."
MS0012,1.456,1.500,RADOVLJICA->TALEŽ,46.334800,14.181685,46.334410,14.181780,453,450,0.0,3.0,raw_gpx_edge_sum_not_official_reconciled,-6.7,7.3,7.3,T2,1052525535,,path,,,,,,village/valley,0,0.2,yes,,,S001;S002,S003,low-medium,low-medium,none,low-medium,Map/OSM highway-class inference,inferred forest singletrack,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,"Surface-specific OSM tags, verified street/trail imagery, or local guide text for this exact path."
MS0013,1.500,1.607,RADOVLJICA->TALEŽ,46.334410,14.181780,46.333600,14.181800,450,450,0.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,0.0,0.0,0.0,T2,177234837;177234839;177234846,Savska cesta,unclassified,asphalt,,,,,village/valley,1,0.2,yes,,,S001;S002,S003,low-medium,low-medium,none,low-medium,Map/OSM source-tag evidence,inferred road surface unknown,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,"Surface-specific OSM tags, verified street/trail imagery, or local guide text for this exact path."
MS0014,1.607,1.719,RADOVLJICA->TALEŽ,46.333600,14.181800,46.332830,14.182490,450,452,2.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,1.8,5.7,5.7,T2,691733191,,path,ground,,bad,hiking,good,village/valley,4,0.4,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,rooty forest singletrack,high,high,medium,Lug depth and wet-grass/root traction matter more than stack height here.,"Useful for stability, especially when wet or fatigued.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0015,1.719,1.968,RADOVLJICA->TALEŽ,46.332830,14.182490,46.331470,14.184930,452,446,0.0,6.0,raw_gpx_edge_sum_not_official_reconciled,-2.4,10.6,10.6,T2,691733191,,path,ground,,bad,hiking,good,village/valley,4,0.2,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,rooty forest singletrack,high,high,medium,Lug depth and wet-grass/root traction matter more than stack height here.,"Useful for stability, especially when wet or fatigued.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0016,1.968,2.013,RADOVLJICA->TALEŽ,46.331470,14.184930,46.331190,14.185340,446,443,0.0,3.0,raw_gpx_edge_sum_not_official_reconciled,-6.6,7.7,7.7,T2,691733191,,path,ground,,bad,hiking,good,village/valley,4,0.0,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,rooty forest singletrack,high,high,medium,Lug depth and wet-grass/root traction matter more than stack height here.,"Useful for stability, especially when wet or fatigued.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0017,2.013,2.103,RADOVLJICA->TALEŽ,46.331190,14.185340,46.330460,14.185800,443,431,0.0,12.0,raw_gpx_edge_sum_not_official_reconciled,-13.3,18.8,18.8,T2,691733191,,path,ground,,bad,hiking,good,forest,4,0.2,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,muddy/leaf-litter risk,high,high,high,Lug depth and wet-grass/root traction matter more than stack height here.,"Useful for stability, especially when wet or fatigued.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0018,2.103,2.199,RADOVLJICA->TALEŽ,46.330460,14.185800,46.329750,14.186000,431,420,0.0,11.0,raw_gpx_edge_sum_not_official_reconciled,-11.5,19.2,19.2,T2,691733191,,path,ground,,bad,hiking,good,forest,4,0.4,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,muddy/leaf-litter risk,high,high,high,Lug depth and wet-grass/root traction matter more than stack height here.,"Useful for stability, especially when wet or fatigued.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0019,2.199,2.251,RADOVLJICA->TALEŽ,46.329750,14.186000,46.329360,14.186020,420,413,0.0,7.0,raw_gpx_edge_sum_not_official_reconciled,-13.3,24.9,24.9,T2,691733191,,path,ground,,bad,hiking,good,forest,4,1.1,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,muddy/leaf-litter risk,high,high,high,Lug depth and wet-grass/root traction matter more than stack height here.,"Useful for stability, especially when wet or fatigued.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0020,2.251,2.327,RADOVLJICA->TALEŽ,46.329360,14.186020,46.328795,14.186520,413,408,0.0,5.0,raw_gpx_edge_sum_not_official_reconciled,-6.6,11.4,11.4,T2,1423873216,,track,compacted,grade2,,,,forest,2,0.8,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,gravel road,medium,medium-high,medium,Secure outsole and moderate cushion; stable platform helps on cambered gravel.,"Useful on sustained climbs/descents, optional on runnable grades.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0021,2.327,2.363,RADOVLJICA->TALEŽ,46.328795,14.186520,46.328525,14.186760,408,410,2.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,5.6,11.2,11.2,T2,177234835,Fuxova brv,path,wood,,,,,forest,1,0.1,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,smooth forest singletrack,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0022,2.363,2.489,RADOVLJICA->TALEŽ,46.328525,14.186760,46.327510,14.187185,410,435,25.0,0.0,raw_gpx_edge_sum_not_official_reconciled,19.9,25.8,25.8,T2,177234838;177234835,Fuxova brv,path,compacted,grade2,,hiking,,forest,3,0.5,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,compacted path,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0023,2.489,2.578,RADOVLJICA->TALEŽ,46.327510,14.187185,46.326780,14.187560,435,440,5.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,5.6,11.4,11.4,T2,177234838;266956871,,path,compacted,grade2,,hiking,,forest,3,0.2,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,compacted path,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0024,2.578,2.825,RADOVLJICA->TALEŽ,46.326780,14.187560,46.324986,14.189207,440,448,8.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,3.2,6.3,11.4,T2,177234838,,path,compacted,grade2,,hiking,,forest,3,1.0,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,compacted path,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0025,2.825,2.938,RADOVLJICA->TALEŽ,46.324986,14.189207,46.324400,14.190375,448,453,5.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,4.4,6.2,6.2,T2,177234838,,path,compacted,grade2,,hiking,,forest,3,2.6,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,compacted path,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0026,2.938,3.086,RADOVLJICA->TALEŽ,46.324400,14.190375,46.323580,14.191838,453,471,18.0,0.0,raw_gpx_edge_sum_not_official_reconciled,12.2,18.7,18.7,T2,177234838,,path,compacted,grade2,,hiking,,forest,3,4.7,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,compacted path,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0027,3.086,3.171,RADOVLJICA->TALEŽ,46.323580,14.191838,46.322915,14.192345,471,478,7.0,0.0,raw_gpx_edge_sum_not_official_reconciled,8.2,11.5,11.5,T2,177234838,,path,compacted,grade2,,hiking,,forest,3,1.1,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,compacted path,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0028,3.171,3.349,RADOVLJICA->TALEŽ,46.322915,14.192345,46.321380,14.192910,478,490,12.0,0.0,raw_gpx_edge_sum_not_official_reconciled,6.7,11.9,11.9,T2,177234838,,path,compacted,grade2,,hiking,,forest,3,0.1,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,compacted path,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0029,3.349,3.418,RADOVLJICA->TALEŽ,46.321380,14.192910,46.320800,14.193150,490,493,3.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,4.4,11.8,11.8,T2,177234838,,path,compacted,grade2,,hiking,,forest,3,0.2,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,compacted path,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0030,3.418,3.561,RADOVLJICA->TALEŽ,46.320800,14.193150,46.319710,14.193990,493,488,0.0,5.0,raw_gpx_edge_sum_not_official_reconciled,-3.5,7.3,7.3,T2,696388972,,track,compacted,grade2,,,,forest,2,0.1,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,gravel road,medium,medium-high,medium,Secure outsole and moderate cushion; stable platform helps on cambered gravel.,"Useful on sustained climbs/descents, optional on runnable grades.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0031,3.561,3.697,RADOVLJICA->TALEŽ,46.319710,14.193990,46.318630,14.193240,488,484,0.0,4.0,raw_gpx_edge_sum_not_official_reconciled,-2.9,21.8,21.8,T2,484254326;696388972,,track,unpaved,grade2,,,,forest,2,0.1,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,gravel road,medium,medium-high,medium,Secure outsole and moderate cushion; stable platform helps on cambered gravel.,"Useful on sustained climbs/descents, optional on runnable grades.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0032,3.697,3.844,RADOVLJICA->TALEŽ,46.318630,14.193240,46.319580,14.192660,484,500,16.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,10.8,43.5,43.5,T2,936644768,,track,grass,grade4,,,,forest,2,0.1,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,coarse rocky wash / eroded track,high,high,medium-high,"Prioritize grip, edging stability, toe protection, and lockdown over pure road speed.",Strongly useful if you use poles well; technical handling required on ridge/rock.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0033,3.844,3.934,RADOVLJICA->TALEŽ,46.319580,14.192660,46.320230,14.192070,500,514,14.0,0.0,raw_gpx_edge_sum_not_official_reconciled,15.6,18.7,18.7,T2,936644768,,track,grass,grade4,,,,forest,2,0.2,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,coarse rocky wash / eroded track,high,high,medium-high,"Prioritize grip, edging stability, toe protection, and lockdown over pure road speed.",Strongly useful if you use poles well; technical handling required on ridge/rock.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0034,3.934,4.036,RADOVLJICA->TALEŽ,46.320230,14.192070,46.320480,14.191310,514,518,4.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,3.9,25.7,25.7,T2,936644768,,track,grass,grade4,,,,forest,2,0.2,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,coarse rocky wash / eroded track,high,high,medium-high,"Prioritize grip, edging stability, toe protection, and lockdown over pure road speed.",Strongly useful if you use poles well; technical handling required on ridge/rock.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0035,4.036,4.157,RADOVLJICA->TALEŽ,46.320480,14.191310,46.321450,14.190850,518,528,10.0,0.0,raw_gpx_edge_sum_not_official_reconciled,8.2,18.4,18.4,T2,936644768,,track,grass,grade4,,,,forest,2,0.2,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,coarse rocky wash / eroded track,high,high,medium-high,"Prioritize grip, edging stability, toe protection, and lockdown over pure road speed.",Strongly useful if you use poles well; technical handling required on ridge/rock.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0036,4.157,4.388,RADOVLJICA->TALEŽ,46.321450,14.190850,46.322190,14.188130,528,531,4.0,1.0,raw_gpx_edge_sum_not_official_reconciled,1.3,9.2,9.9,T2,936644768,,track,grass,grade4,,,,forest,2,0.2,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,coarse rocky wash / eroded track,high,high,medium-high,"Prioritize grip, edging stability, toe protection, and lockdown over pure road speed.",Strongly useful if you use poles well; technical handling required on ridge/rock.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0037,4.388,4.486,RADOVLJICA->TALEŽ,46.322190,14.188130,46.322330,14.186900,531,532,1.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,1.0,5.8,5.8,T2,1423873218,,track,,grade4,,,,forest,1,0.3,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,coarse rocky wash / eroded track,high,high,medium-high,"Prioritize grip, edging stability, toe protection, and lockdown over pure road speed.",Strongly useful if you use poles well; technical handling required on ridge/rock.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0038,4.486,4.691,RADOVLJICA->TALEŽ,46.322330,14.186900,46.322290,14.184290,532,532,1.0,1.0,raw_gpx_edge_sum_not_official_reconciled,0.0,5.2,6.1,T2,266956856,,track,,grade2,,,,forest,1,0.4,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,gravel road,medium,medium-high,medium,Secure outsole and moderate cushion; stable platform helps on cambered gravel.,"Useful on sustained climbs/descents, optional on runnable grades.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0039,4.691,4.923,RADOVLJICA->TALEŽ,46.322290,14.184290,46.322810,14.182020,532,529,0.0,3.0,raw_gpx_edge_sum_not_official_reconciled,-1.3,5.3,11.4,T2,266956856,,track,,grade2,,,,forest,1,0.5,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,gravel road,medium,medium-high,medium,Secure outsole and moderate cushion; stable platform helps on cambered gravel.,"Useful on sustained climbs/descents, optional on runnable grades.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0040,4.923,5.174,RADOVLJICA->TALEŽ,46.322810,14.182020,46.323920,14.179290,529,537,8.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,3.2,5.2,10.8,T2,266956856,,track,,grade2,,,,forest,1,0.3,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,gravel road,medium,medium-high,medium,Secure outsole and moderate cushion; stable platform helps on cambered gravel.,"Useful on sustained climbs/descents, optional on runnable grades.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0041,5.174,5.430,RADOVLJICA->TALEŽ,46.323920,14.179290,46.324870,14.176880,537,542,5.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,2.0,6.5,9.1,T2,266956856,,track,,grade2,,,,forest,1,0.4,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,gravel road,medium,medium-high,medium,Secure outsole and moderate cushion; stable platform helps on cambered gravel.,"Useful on sustained climbs/descents, optional on runnable grades.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0042,5.430,5.521,RADOVLJICA->TALEŽ,46.324870,14.176880,46.325430,14.176030,542,543,1.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,1.1,5.0,5.0,T2,1423873220;266956856,Zgornja Lipnica,residential,,grade2,,,,village/settlement,1,1.2,yes,,,S001;S002,S003,low-medium,low-medium,none,low-medium,Map/OSM source-tag evidence,inferred road surface unknown,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,"Surface-specific OSM tags, verified street/trail imagery, or local guide text for this exact path."
MS0043,5.521,5.623,RADOVLJICA->TALEŽ,46.325430,14.176030,46.326028,14.175095,543,532,0.0,11.0,raw_gpx_edge_sum_not_official_reconciled,-10.9,13.8,13.8,T2,1423873220,Zgornja Lipnica,residential,,,,,,village/settlement,0,0.5,yes,,,S001;S002,S003,low-medium,low-medium,none,low-medium,Map/OSM highway-class inference,inferred road surface unknown,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,"Surface-specific OSM tags, verified street/trail imagery, or local guide text for this exact path."
MS0044,5.623,5.687,RADOVLJICA->TALEŽ,46.326028,14.175095,46.326230,14.174330,532,531,0.0,1.0,raw_gpx_edge_sum_not_official_reconciled,-1.6,4.7,4.7,T2,1423873220,Zgornja Lipnica,residential,,,,,,village/settlement,0,0.8,yes,,,S001;S002,S003,low-medium,low-medium,none,low-medium,Map/OSM highway-class inference,inferred road surface unknown,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,"Surface-specific OSM tags, verified street/trail imagery, or local guide text for this exact path."
MS0045,5.687,5.756,RADOVLJICA->TALEŽ,46.326230,14.174330,46.326580,14.173940,531,533,2.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,2.9,6.6,6.6,T2,1289459184,,service,,grade3,,,,village/settlement,1,0.5,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,compacted dirt road,medium,medium-high,medium,Secure outsole and moderate cushion; stable platform helps on cambered gravel.,"Useful on sustained climbs/descents, optional on runnable grades.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0046,5.756,5.852,RADOVLJICA->TALEŽ,46.326580,14.173940,46.326918,14.172818,533,545,12.0,0.0,raw_gpx_edge_sum_not_official_reconciled,12.5,18.3,18.3,T2,1289460019,,service,gravel,grade3,,,,village/settlement,2,0.4,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,gravel road,medium,medium-high,medium,Secure outsole and moderate cushion; stable platform helps on cambered gravel.,"Useful on sustained climbs/descents, optional on runnable grades.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0047,5.852,5.904,RADOVLJICA->TALEŽ,46.326918,14.172818,46.327015,14.172185,545,548,3.0,-0.0,raw_gpx_edge_sum_not_official_reconciled,5.8,10.0,10.0,T2,1289460019,,service,gravel,grade3,,,,village/settlement,2,0.1,no,,,S001;S002,S003,medium-high,medium-high,none,medium,Map/OSM source-tag evidence,gravel road,medium,medium-high,medium,Secure outsole and moderate cushion; stable platform helps on cambered gravel.,"Useful on sustained climbs/descents, optional on runnable grades.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0048,5.904,6.021,RADOVLJICA->TALEŽ,46.327015,14.172185,46.327475,14.170890,548,571,23.0,0.0,raw_gpx_edge_sum_not_official_reconciled,19.6,27.4,27.4,T2,624252752,,track,,grade3,,,,forest,1,0.4,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,forest road / cart track,medium,medium-high,medium,Secure outsole and moderate cushion; stable platform helps on cambered gravel.,"Useful on sustained climbs/descents, optional on runnable grades.",Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
